1.018384	1.011247	1.017913	1.029768	1.004447	1.016041	1.000268	1.001740	1.030537	0.863682	1.002388	1.046159	1.020245	1.016973	1.014167	0.822910	1.004572	1.028444	1.055886	1.002137	0.622300	1.034159
1.076966	1.047359	1.241719	1.170936	1.014437	1.074492	1.005893	1.022217	1.051354	1.024955	1.049403	1.186203	1.036684	1.065000	1.112734	1.016705	1.053054	1.158762	1.294346	1.036904	1.316580	1.126438
1.049570	1.113553	1.551957	1.341087	1.024996	1.112896	1.014731	1.034790	1.379183	1.034057	1.125896	1.338634	1.330611	1.188928	1.504445	1.035146	1.201475	1.293851	1.475339	1.110389	2.137930	1.228945
1.572194	1.258925	1.502619	1.450220	1.141817	1.247908	1.025628	1.146546	1.452775	1.069026	1.134367	1.342816	1.830337	1.595356	1.411413	1.198915	1.289639	1.335724	1.833962	1.236614	3.440701	1.495354
1.437897	1.571134	1.207682	2.343512	1.498152	1.375881	1.113767	1.244182	1.593746	1.001655	1.159457	1.723989	2.248040	1.546396	1.565276	1.426023	1.650573	1.326459	2.946944	1.357281	2.655094	1.501287
1.714354	1.836381	1.301476	3.354676	1.529983	1.361070	1.454093	1.431099	2.306413	1.466589	1.073263	2.436235	2.643795	1.386583	2.621466	2.048402	1.603602	1.434636	3.142973	1.712682	3.784446	1.599273
2.019533	1.676875	1.190868	2.594982	1.883135	1.488847	2.026707	1.414979	2.461696	1.650845	1.158967	2.275952	3.095194	1.300856	2.891280	1.533314	1.492051	1.403397	2.794169	2.613097	3.412217	1.397833
2.223529	1.689959	1.169381	2.625308	2.478159	1.610278	2.107673	1.637397	2.508686	1.522173	1.230009	1.958168	2.855291	1.713468	2.412362	1.747723	1.461519	1.560625	2.777150	2.931739	2.813468	1.710217
2.251784	1.748646	1.526874	2.402906	3.523879	1.683154	2.064679	1.942105	2.197902	1.849204	1.413062	2.068907	2.619293	2.121619	2.601985	2.077825	1.600338	1.781710	3.542559	2.366387	3.026095	1.829805
2.241912	1.715018	2.099418	1.991472	2.562252	2.837920	1.703838	1.723947	2.488265	1.788268	1.412026	2.543461	3.502006	1.957811	2.842855	1.818315	1.716918	2.047843	3.135735	1.956647	2.753136	2.375412
2.133744	2.730294	2.239765	1.723191	3.000614	3.358698	1.718463	1.664275	2.355739	1.842486	2.191348	2.468385	3.810310	1.924290	2.801776	2.520757	1.385727	1.628134	2.561895	2.183457	2.826328	2.882325
1.972833	2.530628	2.281248	1.693642	3.341779	3.114572	1.677574	1.616396	2.283916	2.039691	2.089660	2.790812	2.461123	2.064650	2.512714	2.855794	1.409727	1.893121	3.585142	2.339833	2.052670	2.080661
2.158706	2.056116	2.813874	2.092112	4.014878	2.595413	1.895276	2.101585	2.649894	2.341208	2.023514	3.207624	2.127550	2.014953	2.301302	2.230276	1.706456	2.153544	3.492528	2.294323	2.446974	2.031398
2.168327	1.846430	2.797932	1.825711	3.412176	2.518051	1.741189	2.179964	2.434077	1.864778	2.097545	4.043465	2.585391	1.839243	1.786077	2.345468	1.829359	2.254736	2.946959	2.232930	2.662869	2.523352
